data_release,event_id,claim_id,group_id,ucdp_group_id,group_name,claim,ucdp_conflict_sgv_1_id,ucdp_conflict_sgv_2_id,ucdp_conflict_osv_1_id,ucdp_conflict_osv_2_id,ucdp_dyad_sgv_1_id,ucdp_dyad_sgv_2_id,ucdp_dyad_osv_1_id,ucdp_dyad_osv_2_id,status,admin0_txt,attack_date
02-Oct-20,-2146485992,1654573645,1412607573,234,Islamic State,Suspected,13604,-1,-99,-99,14620,-1,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2146060571,1056271259,1412607573,234,Islamic State,Suspected,13604,-1,-99,-99,14620,-1,-99,-99,Possible - Too Few Sources,None,#VALUE!
02-Oct-20,-2145067987,310895199,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2145029986,835223548,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Possible - Conflicting Reports,None,#VALUE!
02-Oct-20,-2143985988,-422951263,860804023,-99,Al-Jaysh al-Islami li Tahrir al Amaken al Muqaddasa,Claimed,299,-1,13299,-1,11973,-1,14200,-1,Confirmed Suicide,None,03-10-2012
02-Oct-20,-2143985988,-1904261746,1117872197,1170,Jabhat an-Nuṣrah li-Ahl ash-Shām,Claimed,299,-1,13299,-1,11973,-1,14200,-1,Confirmed Suicide,None,03-10-2012
02-Oct-20,-2143771747,-664618868,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2143582969,-1427955420,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2143145947,938132267,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,12-08-2008
02-Oct-20,-2142462005,464213745,1088854842,303,Taliban (IEA),Suspected,333,-1,514,-1,735,-1,981,-1,Possible - Too Few Sources,None,#VALUE!
02-Oct-20,-2141430050,-1619875965,-1098742477,234,Islamic State of Iraq and Syria,Claimed,259,-1,-99,-99,524,-1,-99,-99,Confirmed Suicide,None,02-04-2014
02-Oct-20,-2141326225,1338952757,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,02-07-2014
02-Oct-20,-2137497052,-627467027,529849632,1051,Boko Haram,Suspected,297,-1,1850,-1,640,-1,2332,-1,Confirmed Suicide,None,12-11-2014
02-Oct-20,-2136994520,1737660764,40934540,-99,Unknown Group,Unclaimed,-99,-99,-99,-99,-99,-99,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2136019429,327057747,1088854842,303,Taliban (IEA),Claimed,333,-1,-99,-99,735,-1,-99,-99,Confirmed Suicide,None,#VALUE!
02-Oct-20,-2135674336,-1103829682,-1098742477,234,Islamic State of Iraq and Syria,Claimed,259,-1,-99,-99,524,-1,-99,-99,Possible - Conflicting Reports,None,#VALUE!
02-Oct-20,-2134868585,-1489233507,1412607573,234,Islamic State,Suspected,259,-1,-99,-99,524,-1,-99,-99,Possible - Too Few Sources,None,04-11-2018
